MS,SMS,RMS,CMS,COS,SC
math_65_fixed,1,1,1,0.5,1,1
math_23_fixed,0.3333333333333333,0,0.1111111111111111,0.058823529411764705,0.25,0.2
math_92_fixed,1,1,1,0.5,1,1
math_44_fixed,1,1,0.3333333333333333,0.2,0.3333333333333333,0.25
math_76_fixed,1,1,0.6666666666666666,0.5,1,0.6666666666666666
math_33_fixed,0.3333333333333333,0.2,0.3333333333333333,0.25,0.3333333333333333,0.2
math_74_fixed,0.5,0.5,0.5,0.125,0.5,0.023809523809523808
math_61_fixed,1,1,1,1,1,1
math_1_fixed,1,1,1,0.2,1,1
math_39_fixed,1,1,1,0.03333333333333333,1,0.02857142857142857
math_46_fixed,0.3333333333333333,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5
math_41_fixed,0.5,0.5,0.5,0.5,0.5,0.5
math_25_fixed,1,1,1,0.3333333333333333,1,1
math_31_fixed,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.018518518518518517,0.07407407407407407,0.02
math_67_fixed,1,1,1,0,1,1
math_88_fixed,0.5,0,0.5,0.3333333333333333,0.5,0.16666666666666666
math_63_fixed,1,1,1,1,1,1
